City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Jahanabad,IN,25.2167,84.9833,75.76,36,0,6.33,clear sky
131,Carnarvon,AU,-24.8667,113.6333,86.07,51,0,20.71,clear sky
132,Comodoro Rivadavia,AR,-45.8667,-67.5,75.06,35,0,14.97,clear sky
133,Aksarka,RU,66.5606,67.7975,-1.43,96,100,10.51,overcast clouds
134,Povenets,RU,62.8487,34.8262,16.92,95,100,7.34,light snow
135,Sabang,ID,5.8933,95.3214,82.13,73,96,12.57,overcast clouds
136,Lompoc,US,34.6391,-120.4579,59.13,87,0,9.22,clear sky
137,Port Augusta,AU,-32.5,137.7667,85.71,48,100,12.73,overcast clouds
138,Carutapera,BR,-1.195,-46.02,75.78,91,100,4.18,overcast clouds
139,Mananjary,MG,-21.2167,48.3333,85.78,70,100,9.71,overcast clouds
140,Sompeta,IN,18.9333,84.6,78.67,57,16,9.31,few clouds
141,Fernie,CA,49.5,-115.0687,40.6,100,88,2.33,overcast clouds
142,Saint Anthony,US,45.0205,-93.218,16.29,78,0,8.05,clear sky
143,Maxixe,MZ,-23.8597,35.3472,82.22,78,40,12.66,scattered clouds
144,Maniitsoq,GL,65.4167,-52.9,-1.03,91,100,7.31,light snow
145,Khandyga,RU,62.6667,135.6,-16.11,93,100,1.57,overcast clouds
146,Chokurdakh,RU,70.6333,147.9167,-43.71,100,94,5.41,overcast clouds
147,Nikolskoye,RU,59.7035,30.7861,31.89,96,97,6.15,snow
148,Mildura,AU,-34.2,142.15,90.07,19,40,10.36,scattered clouds
149,Huty,UA,50.1332,35.3439,34.0,100,100,4.14,snow
150,Broome,US,42.2506,-75.833,32.2,78,100,3.0,overcast clouds
151,Alofi,NU,-19.0595,-169.9187,73.29,94,100,5.75,overcast clouds
152,Grindavik,IS,63.8424,-22.4338,30.67,93,100,40.29,light snow
153,Jacareacanga,BR,-6.2222,-57.7528,72.1,99,100,0.81,overcast clouds
154,Bardiyah,LY,31.7561,25.0865,58.46,49,52,20.4,broken clouds
155,Samarai,PG,-10.6167,150.6667,82.71,75,39,6.73,scattered clouds
156,Redmond,US,47.674,-122.1215,46.51,85,30,2.46,scattered clouds
157,Puerto Maldonado,PE,-12.6,-69.1833,68.88,91,76,1.3,broken clouds
158,Talnakh,RU,69.4865,88.3972,-5.8,96,100,10.13,overcast clouds
159,Itarema,BR,-2.9248,-39.9167,77.45,83,41,6.96,scattered clouds
160,Ati,TD,13.2154,18.3353,74.57,11,22,12.1,few clouds
161,Brae,GB,60.3964,-1.353,42.71,67,99,31.36,overcast clouds
162,Kaifeng,CN,34.7911,114.3483,47.26,38,100,5.28,overcast clouds
163,Inegol,TR,40.0781,29.5133,43.88,85,81,6.73,light rain
164,Traiguen,CL,-38.25,-72.6833,51.08,96,46,3.6,scattered clouds
165,Port Elizabeth,ZA,-33.918,25.5701,73.69,68,0,3.44,clear sky
166,Fairbanks,US,64.8378,-147.7164,-1.91,73,100,4.61,overcast clouds
167,Tsevie,TG,6.4261,1.2133,79.68,75,30,3.38,scattered clouds
168,Ilulissat,GL,69.2167,-51.1,-10.21,94,100,7.36,overcast clouds
169,Nantucket,US,41.2835,-70.0995,48.31,93,100,13.8,moderate rain
170,Camacha,PT,33.0833,-16.3333,60.22,77,40,13.8,scattered clouds
171,Faanui,PF,-16.4833,-151.75,81.48,79,100,19.19,overcast clouds
172,Lanzhou,CN,36.0564,103.7922,24.08,55,93,4.63,overcast clouds
173,Asyut,EG,27.181,31.1837,55.58,25,0,4.21,clear sky
174,Isangel,VU,-19.55,169.2667,80.26,87,100,15.3,moderate rain
175,Bereda,ES,43.2686,-7.5406,42.42,100,8,1.25,clear sky
176,Prince Rupert,CA,54.3161,-130.3201,42.49,93,100,46.04,light rain
177,Fortuna,US,40.5982,-124.1573,46.65,95,100,10.36,overcast clouds
178,Jamestown,US,42.097,-79.2353,26.24,86,100,9.22,overcast clouds
179,Norman Wells,CA,65.282,-126.8329,-25.56,62,75,6.91,light snow
180,Lamar,US,33.6668,-95.5836,39.52,64,0,4.61,clear sky
181,Inhambane,MZ,-23.865,35.3833,82.38,78,40,12.66,scattered clouds
182,Martapura,ID,-3.4167,114.85,89.69,62,40,3.44,scattered clouds
183,Bonthe,SL,7.5264,-12.505,75.24,90,100,5.03,overcast clouds
184,Harper,LR,4.375,-7.7169,79.54,80,56,4.83,moderate rain
185,Biak,ID,-0.9131,122.8766,77.94,84,97,4.81,overcast clouds
186,Veracruz,MX,19.3333,-96.6667,60.87,71,100,1.77,overcast clouds
187,Deputatskiy,RU,69.3,139.9,-34.8,99,96,3.94,overcast clouds
188,Zlitan,LY,32.4674,14.5687,58.89,68,44,22.73,scattered clouds
189,Key West,US,24.5557,-81.7826,73.4,87,20,8.05,few clouds
190,Roma,US,43.2128,-75.4557,30.43,98,91,2.59,overcast clouds
191,Waipawa,NZ,-41.4122,175.5153,65.44,95,100,4.68,overcast clouds
192,Faya,SA,18.3851,42.4509,61.32,45,1,7.36,clear sky
193,Provideniya,RU,64.3833,-173.3,-17.0,83,1,11.05,clear sky
194,Haines Junction,CA,60.7522,-137.5108,28.35,69,100,8.05,overcast clouds
195,Kodiak,US,57.79,-152.4072,35.11,93,100,3.44,light rain
196,Nome,US,64.5011,-165.4064,-7.53,49,0,23.02,clear sky
197,Barrow,US,71.2906,-156.7887,-33.99,100,18,6.67,few clouds
198,Balabac,PH,7.9868,117.0645,82.87,73,100,14.05,overcast clouds
199,Sychevka,RU,55.8252,34.2736,30.29,88,99,13.62,overcast clouds
200,Belmonte,BR,-15.8631,-38.8828,79.3,84,59,3.24,broken clouds
201,Churapcha,RU,62.0025,132.4325,-24.11,99,88,2.33,overcast clouds
202,Bathsheba,BB,13.2167,-59.5167,74.01,73,20,11.5,few clouds
203,Esmeraldas,BR,-19.7625,-44.3139,68.86,98,99,2.39,overcast clouds
204,Sardarshahr,IN,28.4333,74.4833,72.95,36,0,6.64,clear sky
205,Bambous Virieux,MU,-20.3428,57.7575,84.45,70,75,11.5,broken clouds
206,Zhezkazgan,KZ,47.8043,67.7144,19.38,93,75,6.71,broken clouds
207,Puerto Rico,AR,-26.796,-55.024,56.16,57,0,0.65,clear sky
208,Sur,OM,22.5667,59.5289,71.74,52,4,12.46,clear sky
209,Belaya Gora,RU,68.5333,146.4167,-46.17,100,88,2.01,overcast clouds
210,Ketchikan,US,55.3422,-131.6461,41.47,87,100,20.71,moderate rain
211,Tiznit,MA,29.5833,-9.5,60.17,30,4,11.01,clear sky
212,Bengkulu,ID,-3.8004,102.2655,84.65,67,82,12.91,broken clouds
213,Arraial Do Cabo,BR,-22.9661,-42.0278,74.88,92,97,8.28,overcast clouds
214,Illapel,CL,-31.6308,-71.1653,67.01,74,0,2.08,clear sky
215,Fomboni,KM,-12.28,43.7425,78.64,87,100,27.04,moderate rain
216,Izazi,TZ,-7.2,35.7333,81.43,63,84,1.7,broken clouds
217,Deming,US,32.2687,-107.7586,38.25,47,0,1.41,clear sky
218,Geilo,NO,60.5333,8.2076,32.4,83,23,14.81,few clouds
219,Mogadishu,SO,2.0371,45.3438,82.27,69,0,17.27,clear sky
220,Saint-Pierre,RE,-21.3393,55.4781,83.88,70,100,9.22,overcast clouds
221,Taltal,CL,-25.4,-70.4833,64.74,84,27,1.97,scattered clouds
222,Moroni,KM,-11.7022,43.2551,87.8,70,40,11.5,moderate rain
223,Uyemskiy,RU,64.4743,40.8524,14.05,85,100,6.71,overcast clouds
224,Necochea,AR,-38.5473,-58.7368,51.04,89,0,7.49,clear sky
225,Pangnirtung,CA,66.1451,-65.7125,-15.59,94,100,5.61,overcast clouds
226,Cidreira,BR,-30.1811,-50.2056,64.24,84,0,8.72,clear sky
227,Adrar,MR,20.5022,-10.0711,61.16,13,64,10.04,broken clouds
228,Rotnes,NO,60.0571,10.8614,36.52,92,52,3.42,broken clouds
229,Kisangani,CD,0.5167,25.2,88.27,41,5,3.31,clear sky
230,Bereznik,RU,62.8551,42.7072,14.95,93,100,7.45,overcast clouds
231,Beyneu,KZ,45.3167,55.2,32.02,65,83,1.9,broken clouds
232,Mastic Beach,US,40.7668,-72.8521,39.25,90,100,12.66,moderate rain
233,Marzuq,YE,14.4,46.4667,69.49,26,35,6.22,scattered clouds
234,Constitucion,CL,-35.3333,-72.4167,59.54,71,85,5.21,overcast clouds
235,Santa Cruz,BO,-17.8,-63.1667,74.66,64,20,13.8,few clouds
236,Henties Bay,NA,-22.116,14.2845,72.86,86,100,3.67,overcast clouds
237,Marawi,PH,7.9986,124.2928,72.64,88,99,5.03,overcast clouds
238,Yuzhno-Kurilsk,RU,44.0306,145.8556,24.31,80,37,4.92,scattered clouds
239,Huarmey,PE,-10.0681,-78.1522,70.34,83,99,6.4,overcast clouds
240,Juneau,US,58.3019,-134.4197,37.4,95,100,27.63,light rain
241,Hamilton,US,39.1834,-84.5333,20.12,86,82,2.59,broken clouds
242,Hohhot,CN,40.8106,111.6522,32.29,21,0,6.71,clear sky
