City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Ponta Do Sol,PT,2022-02-03 08:51:18,32.6667,-17.1,67.71,70,100,10.51
139,Leningradskiy,RU,2022-02-03 08:51:19,69.3833,178.4167,-13.38,87,12,9.31
140,Hualmay,PE,2022-02-03 08:52:20,-11.0964,-77.6139,68.97,84,25,7.4
141,Isangel,VU,2022-02-03 08:52:21,-19.55,169.2667,79.77,87,100,4.79
142,Toul,FR,2022-02-03 08:52:22,48.6667,5.9167,44.19,93,100,11.5
143,Novodugino,RU,2022-02-03 08:52:22,55.6305,34.2842,25.12,95,100,6.04
144,Avera,US,2022-02-03 08:52:23,33.194,-82.5271,57.94,97,100,9.46
145,Gariaband,IN,2022-02-03 08:52:24,20.635,82.0614,83.75,17,0,5.39
146,Benghazi,LY,2022-02-03 08:52:25,32.1167,20.0667,57.51,53,34,33.98
147,Codrington,AU,2022-02-03 08:52:26,-38.2667,141.9667,59.85,61,81,15.12
148,Wad Rawah,SD,2022-02-03 08:52:27,15.1603,33.1397,86.63,11,83,10.47
149,Huntingdon,GB,2022-02-03 08:52:27,52.3305,-0.1865,46.36,87,100,7.0
150,Comodoro Rivadavia,AR,2022-02-03 08:52:28,-45.8667,-67.5,67.86,52,0,12.66
151,Ulaanbaatar,MN,2022-02-03 08:52:29,47.9077,106.8832,6.93,66,0,8.95
152,Mantsala,FI,2022-02-03 08:52:30,60.6609,25.2838,17.35,92,91,0.18
153,Mandalgovi,MN,2022-02-03 08:52:31,45.7625,106.2708,9.1,69,0,11.05
154,Slave Lake,CA,2022-02-03 08:52:32,55.2834,-114.769,-7.62,84,75,6.91
155,Anloga,GH,2022-02-03 08:52:33,5.7947,0.8973,75.42,72,56,6.58
156,Mehamn,NO,2022-02-03 08:52:34,71.0357,27.8492,22.91,88,100,13.44
157,Beloha,MG,2022-02-03 08:52:34,-25.1667,45.05,95.95,19,1,9.66
158,Alindao,CF,2022-02-03 08:52:35,5.0267,21.2088,93.25,13,100,8.43
159,Marawi,PH,2022-02-03 08:52:36,7.9986,124.2928,73.65,90,100,2.66
160,Gambela,ET,2022-02-03 08:52:37,8.25,34.5833,98.56,20,100,4.79
161,Dorado,PR,2022-02-03 08:52:38,18.4588,-66.2677,74.75,97,7,6.2
162,Fort Nelson,CA,2022-02-03 08:52:39,58.8053,-122.7002,-9.81,70,100,8.05
163,Birao,CF,2022-02-03 08:52:40,10.2849,22.7882,89.67,11,16,5.79
164,Sitka,US,2022-02-03 08:52:40,57.0531,-135.33,35.49,100,100,4.61
